dtreffre,numdep,nomdep,numregi,nomregi,af_tx,indfoy_af,indmtt_af,lieures,trimestre_chomage,taux_chomage,population,nb_naissances
2022-08,08,ARDENNES,44,GRAND EST,Tranche 2,443,44730.0,GRAND EST/ARDENNES,T3_2020,10.6,267204.0,2394.0
2022-08,10,AUBE,44,GRAND EST,Tranche 3,541,28228.0,GRAND EST/AUBE,T3_2020,10.9,311076.0,3049.0
2022-08,13,BOUCHES DU RHONE,93,PROVENCE ALPES COTE D AZUR,Tranche 2,8685,863768.0,PROVENCE ALPES COTE D AZUR/BOUCHES DU RHONE,T3_2020,10.3,2069811.0,24420.0
2022-08,15,CANTAL,84,AUVERGNE RHONE ALPES,Tranche 2,213,20880.0,AUVERGNE RHONE ALPES/CANTAL,T3_2020,5.4,144399.0,1033.0
2022-08,16,CHARENTE,75,NOUVELLE AQUITAINE,Tranche 3 pour ressources inconnues,55,2546.0,NOUVELLE AQUITAINE/CHARENTE,T3_2020,8.7,351603.0,3016.0
2022-08,17,CHARENTE MARITIME,75,NOUVELLE AQUITAINE,Tranche 1,36018,7811783.0,NOUVELLE AQUITAINE/CHARENTE MARITIME,T3_2020,9.1,668160.0,5086.0
2022-08,17,CHARENTE MARITIME,75,NOUVELLE AQUITAINE,Tranche 3,1337,70564.0,NOUVELLE AQUITAINE/CHARENTE MARITIME,T3_2020,9.1,668160.0,5086.0
2022-08,18,CHER,24,CENTRE VAL DE LOIRE,Tranche 2,618,67121.0,CENTRE VAL DE LOIRE/CHER,T3_2020,8.8,299496.0,2669.0
2022-08,19,CORREZE,75,NOUVELLE AQUITAINE,Tranche 3 pour ressources inconnues,47,2360.0,NOUVELLE AQUITAINE/CORREZE,T3_2020,7.2,240120.0,1880.0
2022-08,25,DOUBS,27,BOURGOGNE FRANCHE COMTE,Tranche 3,1381,73511.0,BOURGOGNE FRANCHE COMTE/DOUBS,T3_2020,8.5,548662.0,5394.0
2022-08,28,EURE ET LOIR,24,CENTRE VAL DE LOIRE,Tranche 3 pour ressources inconnues,121,6481.0,CENTRE VAL DE LOIRE/EURE ET LOIR,T3_2020,8.1,432950.0,4602.0
2022-08,29,FINISTERE,53,BRETAGNE,Tranche 3 pour ressources inconnues,194,9331.0,BRETAGNE/FINISTERE,T3_2020,7.7,927912.0,7964.0
2022-08,2B,HAUTE CORSE,94,CORSE,Tranche 3 pour ressources inconnues,67,2968.0,CORSE/HAUTE CORSE,T3_2020,9.5,185231.0,1416.0
2022-08,31,HAUTE GARONNE,76,OCCITANIE,Tranche 3,6241,324587.0,OCCITANIE/HAUTE GARONNE,T3_2020,9.0,1456261.0,15523.0
2022-08,33,GIRONDE,75,NOUVELLE AQUITAINE,Tranche inconnue,18,3539.0,NOUVELLE AQUITAINE/GIRONDE,T3_2020,8.5,1674980.0,16997.0
2022-08,35,ILLE ET VILAINE,53,BRETAGNE,Tranche 1,74814,17310783.0,BRETAGNE/ILLE ET VILAINE,T3_2020,7.2,1109232.0,11349.0
