dtreffre,numdep,nomdep,numregi,nomregi,ars_type,indfoy_ars,indmtt_ars,lieures
2019,24,DORDOGNE,75,NOUVELLE AQUITAINE,ARS à taux différentiel,325,107886.0,NOUVELLE AQUITAINE/DORDOGNE
2019,25,DOUBS,27,BOURGOGNE FRANCHE COMTE,ARS à taux différentiel,365,128398.0,BOURGOGNE FRANCHE COMTE/DOUBS
2019,27,EURE,28,NORMANDIE,ARS à taux différentiel,603,209216.0,NORMANDIE/EURE
2019,2B,HAUTE CORSE,94,CORSE,ARS à taux différentiel,92,31142.0,CORSE/HAUTE CORSE
2019,32,GERS,76,OCCITANIE,ARS à taux plein,6987,4379719.0,OCCITANIE/GERS
2019,35,ILLE ET VILAINE,53,BRETAGNE,ARS à taux plein,40599,26607995.0,BRETAGNE/ILLE ET VILAINE
2019,36,INDRE,24,CENTRE VAL DE LOIRE,ARS à taux plein,8941,5722071.0,CENTRE VAL DE LOIRE/INDRE
2019,37,INDRE ET LOIRE,24,CENTRE VAL DE LOIRE,ARS à taux plein,24100,15553772.0,CENTRE VAL DE LOIRE/INDRE ET LOIRE
2019,38,ISERE,84,AUVERGNE RHONE ALPES,ARS à taux plein,53491,35794613.0,AUVERGNE RHONE ALPES/ISERE
2019,42,LOIRE,84,AUVERGNE RHONE ALPES,ARS à taux plein,34145,23190854.0,AUVERGNE RHONE ALPES/LOIRE
2019,42,LOIRE,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,617,237951.0,AUVERGNE RHONE ALPES/LOIRE
2018,36,INDRE,24,CENTRE VAL DE LOIRE,ARS à taux plein,9091,5782083.0,CENTRE VAL DE LOIRE/INDRE
2018,36,INDRE,24,CENTRE VAL DE LOIRE,ARS à taux différentiel,163,57353.0,CENTRE VAL DE LOIRE/INDRE
2018,38,ISERE,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,1108,432899.0,AUVERGNE RHONE ALPES/ISERE
2018,39,JURA,27,BOURGOGNE FRANCHE COMTE,ARS à taux plein,9885,6476950.0,BOURGOGNE FRANCHE COMTE/JURA
2018,42,LOIRE,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,664,244784.0,AUVERGNE RHONE ALPES/LOIRE
2018,44,LOIRE ATLANTIQUE,52,PAYS DE LA LOIRE,ARS à taux plein,54956,35635520.0,PAYS DE LA LOIRE/LOIRE ATLANTIQUE
2018,46,LOT,76,OCCITANIE,ARS à taux plein,6556,3995512.0,OCCITANIE/LOT
2018,46,LOT,76,OCCITANIE,ARS à taux différentiel,133,44031.0,OCCITANIE/LOT
2018,64,PYRENEES ATLANTIQUES,75,NOUVELLE AQUITAINE,ARS à taux plein,25111,15341085.0,NOUVELLE AQUITAINE/PYRENEES ATLANTIQUES
2018,68,HAUT RHIN,44,GRAND EST,ARS à taux différentiel,476,183412.0,GRAND EST/HAUT RHIN
2018,72,SARTHE,52,PAYS DE LA LOIRE,ARS à taux différentiel,568,205247.0,PAYS DE LA LOIRE/SARTHE
2018,83,VAR,93,PROVENCE ALPES COTE D AZUR,ARS à taux plein,47889,29113861.0,PROVENCE ALPES COTE D AZUR/VAR
2018,85,VENDEE,52,PAYS DE LA LOIRE,ARS à taux différentiel,885,331561.0,PAYS DE LA LOIRE/VENDEE
2018,90,TERRITOIRE DE BELFORT,27,BOURGOGNE FRANCHE COMTE,ARS à taux plein,6050,4057663.0,BOURGOGNE FRANCHE COMTE/TERRITOIRE DE BELFORT
2018,93,SEINE SAINT DENIS,11,ILE DE FRANCE,ARS à taux plein,108880,74286247.0,ILE DE FRANCE/SEINE SAINT DENIS
2018,93,SEINE SAINT DENIS,11,ILE DE FRANCE,ARS à taux différentiel,992,371046.0,ILE DE FRANCE/SEINE SAINT DENIS
2018,94,VAL DE MARNE,11,ILE DE FRANCE,ARS à taux plein,62749,41218744.0,ILE DE FRANCE/VAL DE MARNE
2018,95,VAL D OISE,11,ILE DE FRANCE,ARS à taux différentiel,1002,368025.0,ILE DE FRANCE/VAL D OISE
2018,971,GUADELOUPE,01,GUADELOUPE,ARS à taux plein,32882,18776334.0,GUADELOUPE/GUADELOUPE
