dtreffre,numdep,nomdep,numregi,nomregi,cf_majo,indfoy_cf,lieures,trimestre_chomage,taux_chomage,population,nb_naissances
2021-03,974,LA REUNION,04,LA REUNION,CF sans majoration du montant,3900,LA REUNION/LA REUNION,T1_2019,22.3,871157.0,13470.0
2021-03,974,LA REUNION,04,LA REUNION,CF avec majoration du montant,12054,LA REUNION/LA REUNION,T1_2019,22.3,871157.0,13470.0
2021-02,02,AISNE,32,HAUTS DE FRANCE,CF avec majoration du montant,5160,HAUTS DE FRANCE/AISNE,T1_2019,12.0,527468.0,5348.0
2021-02,03,ALLIER,84,AUVERGNE RHONE ALPES,CF sans majoration du montant,1444,AUVERGNE RHONE ALPES/ALLIER,T1_2019,9.2,334872.0,2772.0
2021-02,08,ARDENNES,44,GRAND EST,CF sans majoration du montant,1417,GRAND EST/ARDENNES,T1_2019,10.2,268859.0,2416.0
2021-02,08,ARDENNES,44,GRAND EST,CF avec majoration du montant,2164,GRAND EST/ARDENNES,T1_2019,10.2,268859.0,2416.0
2021-02,09,ARIEGE,76,OCCITANIE,CF différentiel,22,OCCITANIE/ARIEGE,T1_2019,11.1,154596.0,1205.0
2021-02,09,ARIEGE,76,OCCITANIE,CF sans majoration du montant,618,OCCITANIE/ARIEGE,T1_2019,11.1,154596.0,1205.0
2021-02,16,CHARENTE,75,NOUVELLE AQUITAINE,CF sans majoration du montant,1378,NOUVELLE AQUITAINE/CHARENTE,T1_2019,8.3,350867.0,2984.0
2021-02,21,COTE D OR,27,BOURGOGNE FRANCHE COMTE,CF différentiel,156,BOURGOGNE FRANCHE COMTE/COTE D OR,T1_2019,7.1,535503.0,4977.0
2021-02,21,COTE D OR,27,BOURGOGNE FRANCHE COMTE,CF avec majoration du montant,2757,BOURGOGNE FRANCHE COMTE/COTE D OR,T1_2019,7.1,535503.0,4977.0
2021-02,22,COTES D ARMOR,53,BRETAGNE,CF différentiel,229,BRETAGNE/COTES D ARMOR,T1_2019,7.7,605917.0,5398.0
2021-02,40,LANDES,75,NOUVELLE AQUITAINE,CF différentiel,109,NOUVELLE AQUITAINE/LANDES,T1_2019,8.2,422976.0,3494.0
2021-02,40,LANDES,75,NOUVELLE AQUITAINE,CF sans majoration du montant,1869,NOUVELLE AQUITAINE/LANDES,T1_2019,8.2,422976.0,3494.0
2021-02,40,LANDES,75,NOUVELLE AQUITAINE,CF avec majoration du montant,1915,NOUVELLE AQUITAINE/LANDES,T1_2019,8.2,422976.0,3494.0
2021-02,48,LOZERE,76,OCCITANIE,CF sans majoration du montant,396,OCCITANIE/LOZERE,T1_2019,5.6,76519.0,604.0
2021-02,49,MAINE ET LOIRE,52,PAYS DE LA LOIRE,CF sans majoration du montant,6976,PAYS DE LA LOIRE/MAINE ET LOIRE,T1_2019,7.8,824743.0,8742.0
2021-02,50,MANCHE,28,NORMANDIE,CF sans majoration du montant,2966,NORMANDIE/MANCHE,T1_2019,6.4,495508.0,4419.0
2021-02,50,MANCHE,28,NORMANDIE,CF avec majoration du montant,2342,NORMANDIE/MANCHE,T1_2019,6.4,495508.0,4419.0
2021-02,55,MEUSE,44,GRAND EST,CF avec majoration du montant,1082,GRAND EST/MEUSE,T1_2019,8.3,181919.0,1581.0
2021-02,56,MORBIHAN,53,BRETAGNE,CF différentiel,287,BRETAGNE/MORBIHAN,T1_2019,7.6,768687.0,6755.0
2021-02,56,MORBIHAN,53,BRETAGNE,CF sans majoration du montant,4770,BRETAGNE/MORBIHAN,T1_2019,7.6,768687.0,6755.0
2021-02,57,MOSELLE,44,GRAND EST,CF sans majoration du montant,4415,GRAND EST/MOSELLE,T1_2019,8.5,1049942.0,9744.0
2020-12,29,FINISTERE,53,BRETAGNE,CF sans majoration du montant,5397,BRETAGNE/FINISTERE,T4_2018,7.6,917179.0,7885.0
2020-12,35,ILLE ET VILAINE,53,BRETAGNE,CF avec majoration du montant,5571,BRETAGNE/ILLE ET VILAINE,T4_2018,6.6,1088855.0,11548.0
2020-12,36,INDRE,24,CENTRE VAL DE LOIRE,CF différentiel,50,CENTRE VAL DE LOIRE/INDRE,T4_2018,8.6,218707.0,1727.0
2020-12,37,INDRE ET LOIRE,24,CENTRE VAL DE LOIRE,CF sans majoration du montant,3192,CENTRE VAL DE LOIRE/INDRE ET LOIRE,T4_2018,7.9,612119.0,6020.0
2020-12,40,LANDES,75,NOUVELLE AQUITAINE,CF différentiel,110,NOUVELLE AQUITAINE/LANDES,T4_2018,8.2,418122.0,3405.0
2020-12,41,LOIR ET CHER,24,CENTRE VAL DE LOIRE,CF différentiel,87,CENTRE VAL DE LOIRE/LOIR ET CHER,T4_2018,7.5,329357.0,2935.0
2020-12,44,LOIRE ATLANTIQUE,52,PAYS DE LA LOIRE,CF différentiel,667,PAYS DE LA LOIRE/LOIRE ATLANTIQUE,T4_2018,7.0,1445171.0,16159.0
2020-12,47,LOT ET GARONNE,75,NOUVELLE AQUITAINE,CF sans majoration du montant,1453,NOUVELLE AQUITAINE/LOT ET GARONNE,T4_2018,8.7,330844.0,2892.0
2020-12,49,MAINE ET LOIRE,52,PAYS DE LA LOIRE,CF différentiel,391,PAYS DE LA LOIRE/MAINE ET LOIRE,T4_2018,7.9,820713.0,8384.0
