REF_AREA,TIME_PERIOD,OBS_VALUE,Code,Trimestre
D12,2024-Q3,5.7,12,T3_2024
D12,2024-Q2,5.6,12,T2_2024
D12,2024-Q1,5.7,12,T1_2024
D12,2023-Q4,5.8,12,T4_2023
D12,2023-Q3,5.8,12,T3_2023
D12,2023-Q2,5.7,12,T2_2023
D12,2023-Q1,5.6,12,T1_2023
D12,2022-Q4,5.6,12,T4_2022
D12,2022-Q3,5.7,12,T3_2022
D12,2022-Q2,5.9,12,T2_2022
D12,2022-Q1,5.6,12,T1_2022
D12,2021-Q4,5.7,12,T4_2021
D12,2021-Q3,6.1,12,T3_2021
D12,2021-Q2,6.1,12,T2_2021
D12,2021-Q1,6.2,12,T1_2021
D12,2020-Q4,6.1,12,T4_2020
D12,2020-Q3,6.8,12,T3_2020
D12,2020-Q2,5.6,12,T2_2020
D12,2020-Q1,5.9,12,T1_2020
D12,2019-Q4,6.3,12,T4_2019
D12,2019-Q3,6.3,12,T3_2019
D12,2019-Q2,6.3,12,T2_2019
D12,2019-Q1,6.5,12,T1_2019
D12,2018-Q4,6.4,12,T4_2018
D12,2018-Q3,6.6,12,T3_2018
D12,2018-Q2,6.7,12,T2_2018
D12,2018-Q1,6.7,12,T1_2018
D12,2017-Q4,6.6,12,T4_2017
D12,2017-Q3,7.0,12,T3_2017
D12,2017-Q2,7.0,12,T2_2017
D12,2017-Q1,7.1,12,T1_2017
D12,2016-Q4,7.3,12,T4_2016
D12,2016-Q3,7.2,12,T3_2016
D12,2016-Q2,7.3,12,T2_2016
D12,2016-Q1,7.4,12,T1_2016
D12,2015-Q4,7.5,12,T4_2015
D12,2015-Q3,7.5,12,T3_2015
D12,2015-Q2,7.5,12,T2_2015
D12,2015-Q1,7.3,12,T1_2015
D12,2014-Q4,7.3,12,T4_2014
D12,2014-Q3,7.3,12,T3_2014
D12,2014-Q2,7.3,12,T2_2014
D12,2014-Q1,7.4,12,T1_2014
D12,2013-Q4,7.3,12,T4_2013
D12,2013-Q3,7.5,12,T3_2013
D12,2013-Q2,7.7,12,T2_2013
D12,2013-Q1,7.5,12,T1_2013
D12,2012-Q4,7.3,12,T4_2012
D12,2012-Q3,6.9,12,T3_2012
D12,2012-Q2,6.7,12,T2_2012
D12,2012-Q1,6.4,12,T1_2012
D12,2011-Q4,6.4,12,T4_2011
D12,2011-Q3,6.2,12,T3_2011
D12,2011-Q2,6.1,12,T2_2011
D12,2011-Q1,6.2,12,T1_2011
D12,2010-Q4,6.3,12,T4_2010
D12,2010-Q3,6.3,12,T3_2010
D12,2010-Q2,6.4,12,T2_2010
D12,2010-Q1,6.3,12,T1_2010
D12,2009-Q4,6.5,12,T4_2009
D12,2009-Q3,6.2,12,T3_2009
D12,2009-Q2,6.2,12,T2_2009
D12,2009-Q1,5.9,12,T1_2009
D12,2008-Q4,5.3,12,T4_2008
D12,2008-Q3,5.0,12,T3_2008
D12,2008-Q2,4.8,12,T2_2008
D12,2008-Q1,4.6,12,T1_2008
D12,2007-Q4,4.8,12,T4_2007
D12,2007-Q3,5.0,12,T3_2007
D12,2007-Q2,5.0,12,T2_2007
D12,2007-Q1,5.2,12,T1_2007
D12,2006-Q4,5.3,12,T4_2006
D12,2006-Q3,5.7,12,T3_2006
D12,2006-Q2,5.6,12,T2_2006
D12,2006-Q1,5.7,12,T1_2006
D12,2005-Q4,5.5,12,T4_2005
D12,2005-Q3,5.4,12,T3_2005
D12,2005-Q2,5.2,12,T2_2005
D12,2005-Q1,5.1,12,T1_2005
D12,2004-Q4,5.2,12,T4_2004
D12,2004-Q3,5.2,12,T3_2004
D12,2004-Q2,5.2,12,T2_2004
D12,2004-Q1,5.3,12,T1_2004
D12,2003-Q4,5.2,12,T4_2003
D12,2003-Q3,5.1,12,T3_2003
D12,2003-Q2,5.2,12,T2_2003
D12,2003-Q1,5.1,12,T1_2003
D12,2002-Q4,4.9,12,T4_2002
D12,2002-Q3,4.8,12,T3_2002
D12,2002-Q2,4.7,12,T2_2002
D12,2002-Q1,4.8,12,T1_2002
D12,2001-Q4,4.7,12,T4_2001
D12,2001-Q3,4.6,12,T3_2001
