dimensions.GEO,dimensions.EC_MEASURE,dimensions.FREQ,nb_naissances_annee,attributes.OBS_STATUS_FR,nb_naissances,code_dep_naissances
2024-DEP-01,LVB,A,2021,D,7022.0,01
2024-DEP-01,LVB,A,2020,D,6806.0,01
2024-DEP-01,LVB,A,2015,D,6996.0,01
2024-DEP-01,LVB,A,2019,D,6907.0,01
2024-DEP-01,LVB,A,2022,D,6881.0,01
2024-DEP-01,LVB,A,2018,D,7101.0,01
2024-DEP-01,LVB,A,2017,D,6949.0,01
2024-DEP-01,LVB,A,2023,D,6328.0,01
2024-DEP-01,LVB,A,2024,PROV,6216.0,01
2024-DEP-01,LVB,A,2016,D,7099.0,01
2024-DEP-02,LVB,A,2018,D,5571.0,02
2024-DEP-02,LVB,A,2021,D,5348.0,02
2024-DEP-02,LVB,A,2024,PROV,4696.0,02
2024-DEP-02,LVB,A,2019,D,5394.0,02
2024-DEP-02,LVB,A,2023,D,5082.0,02
2024-DEP-02,LVB,A,2015,D,6269.0,02
2024-DEP-02,LVB,A,2020,D,5338.0,02
2024-DEP-02,LVB,A,2022,D,5354.0,02
2024-DEP-02,LVB,A,2017,D,5890.0,02
2024-DEP-02,LVB,A,2016,D,5825.0,02
2024-DEP-03,LVB,A,2015,D,2992.0,03
2024-DEP-03,LVB,A,2017,D,2877.0,03
2024-DEP-03,LVB,A,2021,D,2772.0,03
2024-DEP-03,LVB,A,2024,PROV,2498.0,03
2024-DEP-03,LVB,A,2023,D,2489.0,03
2024-DEP-03,LVB,A,2018,D,2742.0,03
2024-DEP-03,LVB,A,2019,D,2777.0,03
2024-DEP-03,LVB,A,2020,D,2594.0,03
2024-DEP-03,LVB,A,2016,D,3008.0,03
2024-DEP-03,LVB,A,2022,D,2618.0,03
2024-DEP-04,LVB,A,2017,D,1447.0,04
2024-DEP-04,LVB,A,2018,D,1395.0,04
2024-DEP-04,LVB,A,2019,D,1369.0,04
2024-DEP-04,LVB,A,2020,D,1329.0,04
2024-DEP-04,LVB,A,2016,D,1499.0,04
2024-DEP-04,LVB,A,2023,D,1282.0,04
2024-DEP-04,LVB,A,2024,PROV,1276.0,04
2024-DEP-04,LVB,A,2021,D,1447.0,04
2024-DEP-04,LVB,A,2015,D,1501.0,04
2024-DEP-04,LVB,A,2022,D,1373.0,04
2024-DEP-05,LVB,A,2018,D,1235.0,05
2024-DEP-05,LVB,A,2024,PROV,1121.0,05
2024-DEP-05,LVB,A,2015,D,1347.0,05
2024-DEP-05,LVB,A,2021,D,1282.0,05
2024-DEP-05,LVB,A,2019,D,1221.0,05
2024-DEP-05,LVB,A,2023,D,1097.0,05
2024-DEP-05,LVB,A,2016,D,1298.0,05
2024-DEP-05,LVB,A,2022,D,1234.0,05
2024-DEP-05,LVB,A,2017,D,1215.0,05
2024-DEP-05,LVB,A,2020,D,1157.0,05
2024-DEP-06,LVB,A,2020,D,11216.0,06
2024-DEP-06,LVB,A,2023,D,10380.0,06
2024-DEP-06,LVB,A,2018,D,11631.0,06
2024-DEP-06,LVB,A,2016,D,11956.0,06
2024-DEP-06,LVB,A,2019,D,11580.0,06
2024-DEP-06,LVB,A,2024,PROV,9918.0,06
2024-DEP-06,LVB,A,2017,D,11888.0,06
2024-DEP-06,LVB,A,2021,D,11407.0,06
2024-DEP-06,LVB,A,2015,D,12068.0,06
2024-DEP-06,LVB,A,2022,D,11227.0,06
2024-DEP-07,LVB,A,2021,D,2890.0,07
2024-DEP-07,LVB,A,2024,PROV,2466.0,07
2024-DEP-07,LVB,A,2019,D,2982.0,07
2024-DEP-07,LVB,A,2020,D,2754.0,07
2024-DEP-07,LVB,A,2018,D,2891.0,07
2024-DEP-07,LVB,A,2015,D,3249.0,07
2024-DEP-07,LVB,A,2023,D,2551.0,07
2024-DEP-07,LVB,A,2022,D,2773.0,07
2024-DEP-07,LVB,A,2017,D,2995.0,07
2024-DEP-07,LVB,A,2016,D,2875.0,07
2024-DEP-08,LVB,A,2016,D,2747.0,08
2024-DEP-08,LVB,A,2022,D,2394.0,08
2024-DEP-08,LVB,A,2023,D,2175.0,08
2024-DEP-08,LVB,A,2020,D,2458.0,08
2024-DEP-08,LVB,A,2019,D,2566.0,08
2024-DEP-08,LVB,A,2024,PROV,2161.0,08
2024-DEP-08,LVB,A,2018,D,2464.0,08
2024-DEP-08,LVB,A,2015,D,2799.0,08
2024-DEP-08,LVB,A,2017,D,2521.0,08
2024-DEP-08,LVB,A,2021,D,2416.0,08
2024-DEP-09,LVB,A,2020,D,1196.0,09
2024-DEP-09,LVB,A,2024,PROV,1024.0,09
2024-DEP-09,LVB,A,2023,D,1092.0,09
2024-DEP-09,LVB,A,2017,D,1257.0,09
2024-DEP-09,LVB,A,2015,D,1377.0,09
2024-DEP-09,LVB,A,2016,D,1317.0,09
2024-DEP-09,LVB,A,2021,D,1205.0,09
2024-DEP-09,LVB,A,2018,D,1234.0,09
2024-DEP-09,LVB,A,2022,D,1201.0,09
2024-DEP-09,LVB,A,2019,D,1205.0,09
2024-DEP-10,LVB,A,2019,D,3107.0,10
2024-DEP-10,LVB,A,2015,D,3454.0,10
2024-DEP-10,LVB,A,2022,D,3049.0,10
2024-DEP-10,LVB,A,2016,D,3341.0,10
2024-DEP-10,LVB,A,2020,D,3088.0,10
2024-DEP-10,LVB,A,2017,D,3129.0,10
2024-DEP-10,LVB,A,2023,D,2853.0,10
2024-DEP-10,LVB,A,2021,D,3005.0,10
2024-DEP-10,LVB,A,2018,D,3154.0,10
2024-DEP-10,LVB,A,2024,PROV,2594.0,10
2024-DEP-11,LVB,A,2024,PROV,2791.0,11
2024-DEP-11,LVB,A,2017,D,3313.0,11
2024-DEP-11,LVB,A,2022,D,3187.0,11
2024-DEP-11,LVB,A,2016,D,3385.0,11
2024-DEP-11,LVB,A,2021,D,3246.0,11
2024-DEP-11,LVB,A,2020,D,3237.0,11
2024-DEP-11,LVB,A,2023,D,3033.0,11
2024-DEP-11,LVB,A,2019,D,3205.0,11
2024-DEP-11,LVB,A,2015,D,3531.0,11
2024-DEP-11,LVB,A,2018,D,3228.0,11
2024-DEP-12,LVB,A,2024,PROV,1868.0,12
2024-DEP-12,LVB,A,2015,D,2361.0,12
2024-DEP-12,LVB,A,2020,D,2178.0,12
2024-DEP-12,LVB,A,2022,D,2109.0,12
2024-DEP-12,LVB,A,2021,D,2272.0,12
2024-DEP-12,LVB,A,2017,D,2316.0,12
2024-DEP-12,LVB,A,2023,D,1926.0,12
2024-DEP-12,LVB,A,2016,D,2390.0,12
2024-DEP-12,LVB,A,2019,D,2175.0,12
2024-DEP-12,LVB,A,2018,D,2247.0,12
2024-DEP-13,LVB,A,2022,D,24420.0,13
2024-DEP-13,LVB,A,2015,D,26249.0,13
2024-DEP-13,LVB,A,2019,D,25288.0,13
2024-DEP-13,LVB,A,2017,D,25790.0,13
2024-DEP-13,LVB,A,2021,D,24766.0,13
2024-DEP-13,LVB,A,2018,D,25586.0,13
2024-DEP-13,LVB,A,2016,D,25834.0,13
2024-DEP-13,LVB,A,2024,PROV,22485.0,13
2024-DEP-13,LVB,A,2020,D,24670.0,13
2024-DEP-13,LVB,A,2023,D,22876.0,13
2024-DEP-14,LVB,A,2021,D,6760.0,14
2024-DEP-14,LVB,A,2017,D,6680.0,14
2024-DEP-14,LVB,A,2023,D,6097.0,14
2024-DEP-14,LVB,A,2018,D,6680.0,14
2024-DEP-14,LVB,A,2016,D,6927.0,14
2024-DEP-14,LVB,A,2020,D,6552.0,14
2024-DEP-14,LVB,A,2024,PROV,5792.0,14
2024-DEP-14,LVB,A,2015,D,7199.0,14
