nb_naissances_annee,nb_naissances,code_dep_naissances
2016,7099,1
2017,6949,1
2018,7101,1
2019,6907,1
2020,6806,1
2021,7022,1
2022,6881,1
2023,6328,1
2024,6216,1
2025,5650,1
2026,5376,1
2016,5825,2
2017,5890,2
2018,5571,2
2019,5394,2
2020,5338,2
2021,5348,2
2022,5354,2
2023,5082,2
2024,4696,2
2025,4392,2
2026,4187,2
2016,3008,3
2017,2877,3
2018,2742,3
2019,2777,3
2020,2594,3
2021,2772,3
2022,2618,3
2023,2489,3
2024,2498,3
2025,2363,3
2026,2305,3
2016,1499,4
2017,1447,4
2018,1395,4
2019,1369,4
2020,1329,4
2021,1447,4
2022,1373,4
2023,1282,4
2024,1276,4
2025,1244,4
2026,1221,4
2016,1298,5
2017,1215,5
2018,1235,5
2019,1221,5
2020,1157,5
2021,1282,5
2022,1234,5
2023,1097,5
2024,1121,5
2025,1106,5
2026,1089,5
2016,11956,6
2017,11888,6
2018,11631,6
2019,11580,6
2020,11216,6
2021,11407,6
2022,11227,6
2023,10380,6
2024,9918,6
2025,8622,6
2026,7994,6
2016,2875,7
2017,2995,7
2018,2891,7
2019,2982,7
2020,2754,7
2021,2890,7
2022,2773,7
2023,2551,7
2024,2466,7
2025,2265,7
2026,2153,7
2016,2747,8
2017,2521,8
2018,2464,8
2019,2566,8
2020,2458,8
2021,2416,8
2022,2394,8
2023,2175,8
2024,2161,8
2025,2056,8
2026,1992,8
2016,1317,9
2017,1257,9
2018,1234,9
2019,1205,9
2020,1196,9
2021,1205,9
2022,1201,9
2023,1092,9
2024,1024,9
2025,844,9
2026,757,9
2016,3341,10
2017,3129,10
2018,3154,10
2019,3107,10
2020,3088,10
2021,3005,10
2022,3049,10
2023,2853,10
2024,2594,10
2025,2213,10
2026,2011,10
2016,3385,11
2017,3313,11
2018,3228,11
2019,3205,11
2020,3237,11
2021,3246,11
2022,3187,11
2023,3033,11
2024,2791,11
2025,2417,11
2026,2222,11
2016,2390,12
2017,2316,12
2018,2247,12
2019,2175,12
2020,2178,12
2021,2272,12
2022,2109,12
2023,1926,12
2024,1868,12
2025,1685,12
2026,1589,12
2016,25834,13
2017,25790,13
2018,25586,13
2019,25288,13
2020,24670,13
2021,24766,13
2022,24420,13
2023,22876,13
2024,22485,13
2025,20529,13
2026,19619,13
2016,6927,14
2017,6680,14
2018,6680,14
2019,6621,14
2020,6552,14
2021,6760,14
2022,6378,14
2023,6097,14
2024,5792,14
2025,5209,14
2026,4916,14
2016,1068,15
2017,1067,15
2018,1110,15
2019,1016,15
2020,1029,15
2021,1039,15
2022,1033,15
2023,916,15
2024,928,15
2025,881,15
2026,855,15
2016,3183,16
2017,3034,16
2018,2955,16
2019,2987,16
2020,2931,16
2021,2984,16
2022,3016,16
2023,2833,16
2024,2662,16
2025,2314,16
2026,2140,16
2016,5474,17
2017,5151,17
2018,5061,17
2019,5149,17
2020,4941,17
2021,5207,17
2022,5086,17
2023,4628,17
2024,4617,17
2025,4485,17
2026,4386,17
2016,2875,18
2017,2788,18
2018,2662,18
2019,2771,18
2020,2601,18
2021,2665,18
2022,2669,18
2023,2348,18
2024,2378,18
2025,2275,18
2026,2211,18
2016,1986,19
2017,1919,19
2018,1907,19
2019,1831,19
2020,1864,19
2021,1863,19
2022,1880,19
2023,1690,19
2024,1614,19
2025,1417,19
2026,1315,19
2016,5378,21
2017,5394,21
2018,5191,21
2019,5062,21
2020,5165,21
2021,4977,21
2022,4878,21
2023,4514,21
2024,4333,21
2025,3837,21
2026,3591,21
2016,5409,22
2017,5332,22
2018,5313,22
2019,5132,22
2020,5082,22
2021,5398,22
2022,4991,22
2023,4609,22
2024,4601,22
2025,4207,22
2026,4021,22
2016,822,23
2017,834,23
2018,802,23
2019,772,23
2020,758,23
2021,788,23
2022,760,23
2023,770,23
2024,713,23
2025,710,23
2026,698,23
2016,3228,24
2017,3175,24
2018,2942,24
2019,2972,24
2020,3012,24
2021,3073,24
2022,3073,24
2023,2746,24
2024,2669,24
2025,2597,24
2026,2520,24
2016,6344,25
2017,6123,25
2018,5992,25
2019,5757,25
2020,5671,25
2021,5589,25
2022,5394,25
2023,5116,25
2024,4976,25
2025,4552,25
2026,4348,25
2016,5548,26
2017,5571,26
2018,5411,26
2019,5476,26
2020,5187,26
2021,5308,26
2022,5276,26
2023,4816,26
2024,4721,26
2025,4253,26
2026,4025,26
2016,6974,27
2017,6594,27
2018,6434,27
2019,6175,27
2020,6181,27
2021,6211,27
2022,6237,27
2023,5689,27
2024,5461,27
2025,4815,27
2026,4495,27
2016,5208,28
2017,4781,28
2018,4730,28
2019,4583,28
2020,4439,28
2021,4498,28
2022,4602,28
2023,4190,28
2024,3991,28
2025,3860,28
2026,3743,28
2016,8419,29
2017,8370,29
2018,8095,29
2019,7975,29
2020,7885,29
2021,8154,29
2022,7964,29
2023,7273,29
2024,7121,29
2025,6463,29
2026,6133,29
2016,8005,30
2017,7708,30
2018,7585,30
2019,7484,30
2020,7377,30
2021,7481,30
2022,7422,30
2023,6709,30
2024,6546,30
2025,5730,30
2026,5343,30
2016,16049,31
2017,16024,31
2018,15966,31
2019,15870,31
2020,15825,31
2021,15968,31
2022,15523,31
2023,14331,31
2024,14450,31
2025,13251,31
2026,12738,31
2016,1497,32
2017,1383,32
2018,1434,32
2019,1388,32
2020,1409,32
2021,1515,32
2022,1471,32
2023,1246,32
2024,1243,32
2025,1275,32
2026,1255,32
2016,17052,33
2017,17004,33
2018,17115,33
2019,16955,33
2020,16970,33
2021,17494,33
2022,16997,33
2023,15762,33
2024,15389,33
2025,13854,33
2026,13123,33
2016,12761,34
2017,12507,34
2018,12577,34
2019,12488,34
2020,12411,34
2021,12580,34
2022,12436,34
2023,11167,34
2024,10734,34
2025,9072,34
2026,8281,34
2016,11925,35
2017,11680,35
2018,11656,35
2019,11639,35
2020,11548,35
2021,11758,35
2022,11349,35
2023,10862,35
2024,10702,35
2025,9938,35
2026,9589,35
2016,1760,36
2017,1719,36
2018,1766,36
2019,1773,36
2020,1727,36
2021,1816,36
2022,1671,36
2023,1599,36
2024,1533,36
2025,1372,36
2026,1294,36
2016,6400,37
