dimensions.GEO,dimensions.SEX,population_annee,dimensions.EP_MEASURE,dimensions.AGE,attributes.OBS_STATUS_FR,population,code_dep_population
2023-DEP-01,_T,2021,POP,_T,D,663202.0,01
2023-DEP-01,_T,2019,POP,_T,D,652432.0,01
2023-DEP-01,_T,1991,POP,_T,D,476982.0,01
2023-DEP-01,_T,2006,POP,_T,D,566740.0,01
2023-DEP-01,_T,2011,POP,_T,D,603827.0,01
2023-DEP-01,_T,1997,POP,_T,D,504201.0,01
2023-DEP-01,_T,2023,POP,_T,PROV,677187.0,01
2023-DEP-01,_T,2000,POP,_T,D,521103.0,01
2023-DEP-01,_T,2003,POP,_T,D,543136.0,01
2023-DEP-01,_T,2016,POP,_T,D,638425.0,01
2023-DEP-01,_T,1994,POP,_T,D,491135.0,01
2023-DEP-01,_T,2012,POP,_T,D,612191.0,01
2023-DEP-01,_T,1999,POP,_T,D,514331.0,01
2023-DEP-01,_T,2018,POP,_T,D,647634.0,01
2023-DEP-01,_T,2014,POP,_T,D,626127.0,01
2023-DEP-01,_T,2001,POP,_T,D,528195.0,01
2023-DEP-01,_T,2009,POP,_T,D,588853.0,01
2023-DEP-01,_T,1992,POP,_T,D,482557.0,01
2023-DEP-01,_T,2024,POP,_T,PROV,683034.0,01
2023-DEP-01,_T,2015,POP,_T,D,631877.0,01
2023-DEP-01,_T,1996,POP,_T,D,499310.0,01
2023-DEP-01,_T,2004,POP,_T,D,550939.0,01
2023-DEP-01,_T,2020,POP,_T,D,657856.0,01
2023-DEP-01,_T,2008,POP,_T,D,581355.0,01
2023-DEP-01,_T,2010,POP,_T,D,597341.0,01
2023-DEP-01,_T,2013,POP,_T,D,619497.0,01
2023-DEP-01,_T,1990,POP,_T,D,470651.0,01
2023-DEP-01,_T,2007,POP,_T,D,574377.0,01
2023-DEP-01,_T,2025,POP,_T,PROV,688626.0,01
2023-DEP-01,_T,2017,POP,_T,D,643350.0,01
2023-DEP-01,_T,1998,POP,_T,D,509520.0,01
2023-DEP-01,_T,2002,POP,_T,D,535616.0,01
2023-DEP-01,_T,1993,POP,_T,D,488244.0,01
2023-DEP-01,_T,2005,POP,_T,D,558968.0,01
2023-DEP-01,_T,1995,POP,_T,D,495127.0,01
2023-DEP-01,_T,2022,POP,_T,D,671289.0,01
2023-DEP-02,_T,1991,POP,_T,D,537263.0,02
2023-DEP-02,_T,1990,POP,_T,D,536896.0,02
2023-DEP-02,_T,2013,POP,_T,D,540067.0,02
2023-DEP-02,_T,2021,POP,_T,D,527468.0,02
2023-DEP-02,_T,2018,POP,_T,D,533316.0,02
2023-DEP-02,_T,1999,POP,_T,D,536181.0,02
2023-DEP-02,_T,1996,POP,_T,D,538017.0,02
2023-DEP-02,_T,2022,POP,_T,D,525558.0,02
2023-DEP-02,_T,2010,POP,_T,D,540508.0,02
2023-DEP-02,_T,1995,POP,_T,D,538324.0,02
