population_annee,population,code_dep_population
1991,476982,1
1992,482557,1
1993,488244,1
1994,491135,1
1995,495127,1
1996,499310,1
1997,504201,1
1998,509520,1
1999,514331,1
2000,521103,1
2001,528195,1
2002,535616,1
2003,543136,1
2004,550939,1
2005,558968,1
2006,566740,1
2007,574377,1
2008,581355,1
2009,588853,1
2010,597341,1
2011,603827,1
2012,612191,1
2013,619497,1
2014,626127,1
2015,631877,1
2016,638425,1
2017,643350,1
2018,647634,1
2019,652432,1
2020,657856,1
2021,663202,1
2022,671289,1
2023,677187,1
2024,683034,1
2025,688626,1
2026,694054,1
1991,537263,2
1992,537755,2
1993,538219,2
1994,537926,2
1995,538324,2
1996,538017,2
1997,537751,2
1998,536629,2
1999,536181,2
2000,536260,2
2001,536626,2
2002,536784,2
2003,536651,2
2004,536464,2
2005,536798,2
2006,537061,2
2007,537820,2
2008,538790,2
2009,539870,2
2010,540508,2
2011,541302,2
2012,540888,2
2013,540067,2
2014,539783,2
2015,538659,2
2016,536136,2
2017,534490,2
2018,533316,2
2019,531345,2
2020,529374,2
2021,527468,2
2022,525558,2
2023,523228,2
2024,521152,2
2025,518817,2
2026,517141,2
1991,356432,3
1992,355195,3
1993,353824,3
1994,352441,3
1995,351058,3
1996,349376,3
1997,348200,3
1998,346640,3
1999,345072,3
2000,344710,3
2001,344551,3
2002,344355,3
2003,344005,3
2004,343547,3
2005,343558,3
2006,343309,3
2007,343114,3
2008,342807,3
2009,343046,3
2010,342908,3
2011,342729,3
2012,342911,3
2013,343431,3
2014,343062,3
2015,341613,3
2016,339384,3
2017,337988,3
2018,337171,3
2019,335975,3
2020,335628,3
2021,334872,3
2022,334715,3
2023,333922,3
2024,333234,3
2025,332599,3
2026,331959,3
1991,131857,4
1992,132739,4
1993,134040,4
1994,135216,4
1995,136392,4
1996,137453,4
1997,138373,4
1998,139454,4
1999,139515,4
2000,141454,4
2001,143574,4
2002,145750,4
2003,147970,4
2004,150051,4
2005,152376,4
2006,154501,4
2007,156067,4
2008,157965,4
2009,159450,4
2010,160149,4
2011,160959,4
2012,161241,4
2013,161916,4
2014,161588,4
2015,161799,4
2016,162565,4
2017,163915,4
2018,164068,4
2019,164308,4
2020,165451,4
2021,166077,4
2022,167179,4
2023,168005,4
2024,168908,4
2025,169806,4
2026,170538,4
1991,114193,5
1992,114917,5
1993,115376,5
1994,116689,5
1995,117530,5
1996,118526,5
1997,119433,5
1998,120972,5
1999,121338,5
2000,122542,5
2001,123873,5
2002,125287,5
2003,126721,5
2004,128067,5
2005,129453,5
2006,130752,5
2007,132482,5
2008,134205,5
2009,135836,5
2010,136971,5
2011,138605,5
2012,139554,5
2013,139279,5
2014,139883,5
2015,140916,5
2016,141107,5
2017,141284,5
2018,140698,5
2019,141220,5
2020,140605,5
2021,140976,5
2022,141677,5
2023,141826,5
2024,141906,5
2025,142006,5
2026,142058,5
1991,981331,6
1992,989251,6
1993,993695,6
1994,998779,6
1995,998702,6
1996,1000154,6
1997,1002360,6
1998,1006282,6
1999,1010644,6
2000,1017956,6
2001,1026455,6
2002,1035271,6
2003,1044429,6
2004,1053182,6
2005,1063500,6
2006,1073184,6
2007,1082465,6
2008,1084428,6
2009,1079100,6
2010,1078729,6
2011,1081244,6
2012,1082014,6
2013,1080771,6
2014,1083312,6
2015,1082440,6
2016,1083704,6
2017,1083310,6
2018,1086219,6
2019,1094283,6
2020,1097410,6
2021,1103941,6
2022,1114579,6
2023,1119807,6
2024,1124992,6
2025,1129950,6
2026,1137850,6
1991,278688,7
1992,279438,7
1993,280263,7
1994,280897,7
1995,281487,7
1996,282838,7
1997,283811,7
1998,285181,7
1999,285889,7
2000,288386,7
2001,291079,7
2002,293922,7
2003,296960,7
2004,300021,7
2005,303117,7
2006,306238,7
2007,309456,7
2008,311452,7
2009,313578,7
2010,315090,7
2011,317277,7
2012,318407,7
2013,320379,7
2014,322381,7
2015,324209,7
2016,325157,7
2017,325712,7
2018,326606,7
2019,328278,7
2020,329325,7
2021,331415,7
2022,333229,7
2023,334451,7
2024,335833,7
2025,336947,7
2026,338608,7
1991,295676,8
1992,294625,8
1993,294604,8
1994,294260,8
1995,293368,8
1996,292822,8
1997,292175,8
1998,291329,8
1999,290452,8
2000,289609,8
2001,289041,8
2002,288520,8
2003,287820,8
2004,287136,8
2005,286425,8
2006,285653,8
2007,284749,8
2008,284197,8
2009,283296,8
2010,283250,8
2011,283110,8
2012,282778,8
2013,280907,8
2014,279715,8
2015,277752,8
2016,275371,8
2017,273579,8
2018,271845,8
2019,270582,8
2020,269701,8
2021,268859,8
2022,267204,8
2023,265865,8
2024,264556,8
2025,263194,8
2026,262244,8
1991,136772,9
1992,136870,9
1993,136632,9
1994,136613,9
1995,136496,9
1996,136219,9
1997,136544,9
1998,136732,9
1999,137201,9
2000,138199,9
2001,139388,9
2002,140681,9
2003,142043,9
2004,143371,9
2005,144888,9
2006,146289,9
2007,148568,9
2008,150201,9
2009,151117,9
2010,152038,9
2011,152286,9
2012,152366,9
2013,152684,9
2014,152574,9
2015,152499,9
2016,153067,9
2017,153153,9
2018,153066,9
2019,153287,9
2020,153954,9
2021,154596,9
2022,155339,9
2023,155760,9
2024,156304,9
2025,156787,9
2026,157372,9
1991,290118,10
1992,290731,10
1993,291359,10
1994,291968,10
1995,292575,10
1996,292381,10
1997,292712,10
1998,292676,10
1999,292317,10
2000,293185,10
2001,294310,10
2002,295419,10
2003,296294,10
2004,297154,10
2005,298483,10
2006,299704,10
2007,300840,10
2008,301327,10
2009,303298,10
2010,303327,10
2011,303997,10
2012,305606,10
2013,306581,10
2014,308094,10
2015,309056,10
2016,308910,10
2017,310020,10
2018,310020,10
2019,310242,10
2020,311435,10
2021,311329,10
2022,311076,10
2023,311170,10
2024,311187,10
2025,310930,10
2026,311382,10
1991,300615,11
1992,301045,11
1993,301693,11
1994,302569,11
1995,303404,11
1996,304530,11
1997,305604,11
1998,308125,11
1999,309463,11
2000,313341,11
2001,317549,11
2002,321972,11
2003,326491,11
2004,331267,11
2005,336237,11
2006,341022,11
2007,345779,11
2008,349237,11
2009,353980,11
2010,356467,11
2011,359967,11
2012,362339,11
2013,364877,11
2014,365478,11
2015,366957,11
2016,368025,11
2017,370260,11
2018,372806,11
2019,374070,11
2020,375217,11
2021,376028,11
2022,377773,11
2023,378427,11
2024,379190,11
2025,379729,11
2026,381736,11
1991,269114,12
1992,268535,12
1993,267728,12
1994,267025,12
1995,266473,12
1996,265492,12
1997,265027,12
1998,264419,12
1999,264048,12
2000,265065,12
2001,266369,12
2002,267766,12
2003,269114,12
2004,270275,12
2005,271979,12
2006,273377,12
2007,274425,12
2008,275889,12
2009,277048,12
2010,276805,12
2011,275813,12
2012,276229,12
2013,277740,12
2014,278644,12
2015,279169,12
2016,278697,12
2017,279206,12
2018,279274,12
2019,279595,12
2020,279554,12
2021,279649,12
2022,279736,12
2023,279241,12
2024,278821,12
2025,278355,12
2026,278701,12
1991,1768054,13
1992,1777351,13
1993,1788025,13
1994,1794222,13
1995,1802202,13
1996,1809226,13
1997,1815271,13
1998,1824390,13
1999,1833982,13
2000,1846878,13
2001,1860948,13
2002,1876310,13
2003,1891344,13
2004,1905689,13
2005,1921821,13
2006,1937405,13
2007,1958926,13
2008,1966005,13
2009,1967299,13
2010,1972018,13
2011,1975896,13
2012,1984784,13
2013,1993177,13
2014,2006069,13
2015,2016622,13
2016,2019717,13
2017,2024162,13
2018,2034357,13
2019,2043110,13
2020,2048070,13
2021,2056943,13
2022,2069811,13
2023,2076707,13
2024,2083682,13
2025,2090225,13
2026,2099634,13
1991,621780,14
1992,625079,14
1993,628687,14
1994,631182,14
1995,633738,14
1996,637669,14
1997,641868,14
1998,644513,14
1999,647951,14
2000,651193,14
2001,654684,14
2002,658189,14
2003,661498,14
2004,664769,14
2005,668210,14
2006,671351,14
2007,673667,14
2008,678206,14
2009,680908,14
2010,683105,14
2011,685262,14
2012,687854,14
2013,689945,14
2014,691670,14
2015,693579,14
2016,693679,14
2017,694002,14
2018,694056,14
2019,694905,14
2020,697547,14
2021,700633,14
2022,704605,14
2023,706548,14
