dtreffre,numdep,nomdep,numregi,nomregi,indfoy_ndur,indnbp_ndur,indmtt_ndur,indfoy_ndurpaje,indnbp_ndurpaje,indmtt_ndurpaje,indfoy_pn,indnbp_pn,indmtt_pn,indfoy_ab,indnbp_ab,indmtt_ab,indfoy_cmg,indnbp_cmg,indmtt_cmg,indfoy_prepare,indnbp_prepare,indmtt_prepare,indfoy_ndurej,indnbp_ndurej,indmtt_ndurej,indfoy_af,indnbp_af,indmtt_af,indfoy_cf,indnbp_cf,indmtt_cf,indfoy_ars,indnbp_ars,indmtt_ars,indfoy_asf,indnbp_asf,indmtt_asf,indfoy_ndurhd,indnbp_ndurhd,indmtt_ndurhd,indfoy_aah,indben_aah,indnbp_aah,indmtt_aah,indfoy_aeeh,indben_aeeh,indnbp_aeeh,indmtt_aeeh,indfoy_ajpa,indben_ajpa,indnbp_ajpa,indmtt_ajpa,indfoy_ajpp,indben_ajpp,indnbp_ajpp,indmtt_ajpp,indfoy_ndural,indnbp_ndural,indmtt_ndural,indfoy_alf,indnbp_alf,indmtt_alf,indfoy_als,indnbp_als,indmtt_als,indfoy_apl,indnbp_apl,indmtt_apl,indfoy_ndurins,indnbp_ndurins,indmtt_ndurins,indfoy_rsa,indnbp_rsa,indmtt_rsa,indfoy_ppa,indnbp_ppa,indmtt_ppa,indfoy_rso,indnbp_rso,indmtt_rso,indfoy_ndurint,indnbp_ndurint,indmtt_ndurint,indfoy_ami,indnbp_ami,indmtt_ami,indfoy_adi,indnbp_adi,indmtt_adi,indfoy_cdi,indnbp_cdi,indmtt_cdi,lieures,trimestre_chomage,taux_chomage,population,nb_naissances,year,month
2023-02-01,66,PYRENEES ORIENTALES,76,OCCITANIE,112823,239125,59675313.0,11946,43739,4284909.0,274,999,279490.0,10178,37595,1801252.0,4571,15802,1854673.0,1080,4508,349493.0,35750,135617,11423108.0,30968,125695,7084017.0,6005,29776,1468820.0,0.0,0.0,0.0,9811.0,28404.0,2870272.0,14395,26571,10181038.0,11598,11772,16640,9382252.0,2760,2997,10460,699225.0,17.0,17.0,32.0,10927.0,81,82,285,88634.0,53658,105184,12945821.0,12168,39758,4046731.0,23167,25060,4772579.0,18323,40366,4126512.0,61731,117938,20935690.0,24330,47945,13073136.0,41884,79598,7862554.0,0,0,0,48,197,52579.0,1,1,216.0,45,191,51688.0,2,5,675.0,OCCITANIE/PYRENEES ORIENTALES,T1_2021,12.6,496280.0,4146.0,2023,2
2023-02-01,71,SAONE ET LOIRE,27,BOURGOGNE FRANCHE COMTE,96411,231828,44442888.0,13530,51608,4880361.0,299,1155,303706.0,10080,39201,1737995.0,7163,25859,2381978.0,1608,6889,456682.0,36887,149093,10892850.0,34168,143504,7918143.0,6516,33205,1467777.0,0.0,0.0,0.0,5556.0,15934.0,1506931.0,15501,31835,10106056.0,11657,11980,17899,9036344.0,3786,4124,14966,940738.0,10.0,10.0,22.0,4308.0,117,117,488,124665.0,37837,73791,7638928.0,4999,16740,1365898.0,11655,12532,2129263.0,21183,44519,4143767.0,42578,83100,11188045.0,9698,20394,4955980.0,35417,68539,6232065.0,0,0,0,4,17,1212.0,0,0,0.0,4,17,1212.0,0,0,0.0,BOURGOGNE FRANCHE COMTE/SAONE ET LOIRE,T1_2021,6.8,547788.0,4337.0,2023,2
2023-02-01,80,SOMME,32,HAUTS DE FRANCE,122186,274684,58127867.0,15013,56815,5116509.0,362,1415,370299.0,11621,44636,2018602.0,7041,25282,2276048.0,1636,6853,451559.0,40539,162047,12063138.0,36957,154632,8542573.0,6893,35101,1605899.0,0.0,0.0,0.0,7154.0,20460.0,1914667.0,16655,31099,11882327.0,14058,14522,22515,11190106.0,2319,2504,9339,598126.0,10.0,10.0,18.0,4964.0,89,91,332,89131.0,56037,106696,12028287.0,7587,26723,2222107.0,24414,26506,4672138.0,24036,53467,5134043.0,57745,116513,17433469.0,17156,35649,8987757.0,45200,91805,8445713.0,0,0,0,2,5,551.0,1,1,15.0,1,4,536.0,0,0,0.0,HAUTS DE FRANCE/SOMME,T1_2021,9.3,563543.0,5129.0,2023,2
2023-01-01,6,ALPES MARITIMES,93,PROVENCE ALPES COTE D AZUR,218990,488046,94481161.0,25222,92437,7833591.0,613,2239,632637.0,20656,76378,3568205.0,7635,26339,2755377.0,2623,10838,877371.0,74927,291807,20170474.0,67871,277384,14117760.0,10784,53869,2551674.0,0.0,0.0,0.0,13238.0,36333.0,3501040.0,29291,57377,20297687.0,22162,22482,32038,18034083.0,7154,7726,26630,2022946.0,28.0,28.0,59.0,19294.0,202,205,731,221364.0,97230,180005,21784219.0,18376,59698,5663124.0,45419,48533,8926531.0,33435,71774,7194564.0,88911,162328,23784915.0,19821,38222,10075134.0,74327,134962,13709781.0,0,0,0,734,2554,876682.0,39,41,4903.0,692,2503,870504.0,3,10,1275.0,PROVENCE ALPES COTE D AZUR/ALPES MARITIMES,T1_2021,9.0,1119807.0,10380.0,2023,1
2023-01-01,7,ARDECHE,84,AUVERGNE RHONE ALPES,59573,142290,26384911.0,7906,29644,2740040.0,164,630,166483.0,6192,23497,1064756.0,3774,13596,1195737.0,1047,4409,313064.0,23101,91688,6459952.0,21522,88459,4757555.0,3827,19145,858252.0,0.0,0.0,0.0,3179.0,8979.0,844145.0,7890,13807,5361217.0,6569,6706,9266,4937146.0,1198,1260,4617,337116.0,12.0,12.0,26.0,7024.0,78,77,317,79931.0,22723,43744,4804144.0,4565,14948,1286761.0,8099,8720,1523366.0,10059,20076,1994017.0,26850,50627,7126970.0,6127,11717,3045765.0,22323,42193,4081205.0,0,0,0,1,5,777.0,0,0,0.0,1,5,777.0,0,0,0.0,AUVERGNE RHONE ALPES/ARDECHE,T1_2021,8.9,334451.0,2551.0,2023,1
2023-01-01,37,INDRE ET LOIRE,24,CENTRE VAL DE LOIRE,130490,295483,54290347.0,16277,61208,5942634.0,356,1375,367272.0,12075,46169,2058273.0,9099,32664,3026790.0,1775,7497,490298.0,45782,182977,12702744.0,42451,176088,9284700.0,6783,34231,1535651.0,0.0,0.0,0.0,6955.0,20112.0,1882393.0,12865,24716,8726906.0,10077,10319,14714,7931550.0,2652,2824,10460,669914.0,8.0,8.0,20.0,4340.0,118,118,458,121103.0,59033,101561,11740318.0,4520,15033,1200305.0,25917,27450,4910382.0,28596,59078,5629631.0,55516,103812,15378194.0,14060,29121,7370336.0,45122,82878,8007858.0,0,0,0,3,7,1724.0,1,1,260.0,2,6,1464.0,0,0,0.0,CENTRE VAL DE LOIRE/INDRE ET LOIRE,T1_2021,7.2,617703.0,5619.0,2023,1
2023-01-01,39,JURA,27,BOURGOGNE FRANCHE COMTE,42710,104305,18580882.0,5839,21978,2095682.0,117,450,120070.0,4332,16583,736637.0,3268,11785,1020957.0,761,3224,218018.0,17200,68641,4741434.0,16089,66381,3527959.0,2812,14109,619133.0,0.0,0.0,0.0,2240.0,6282.0,594342.0,6252,11449,4261614.0,5177,5294,7724,3906631.0,1019,1100,3944,316633.0,6.0,6.0,13.0,5744.0,35,34,145,32607.0,15637,29438,3038003.0,2554,8235,661696.0,5200,5528,919026.0,7883,15675,1457282.0,17840,33685,4481237.0,3386,6825,1668547.0,15461,29051,2812690.0,0,0,0,78,269,57346.0,1,1,72.0,77,268,57274.0,0,0,0.0,BOURGOGNE FRANCHE COMTE/JURA,T1_2021,5.7,257986.0,2083.0,2023,1
2023-01-01,50,MANCHE,28,NORMANDIE,80515,197082,34968127.0,11886,44423,4420361.0,238,895,241149.0,8628,32660,1453690.0,7668,27865,2334706.0,1454,6120,390816.0,32239,128685,8585365.0,30137,124400,6471765.0,4817,24214,1052208.0,0.0,0.0,0.0,4114.0,11390.0,1061392.0,12018,22071,8000629.0,9930,10235,15067,7276142.0,1901,2036,7434,652391.0,5.0,5.0,7.0,1561.0,80,82,314,70535.0,29409,54003,5555586.0,3757,12968,966231.0,8532,9250,1579457.0,17120,31785,3009898.0,33663,64221,8633499.0,6969,13368,3507581.0,28551,54806,5125918.0,0,0,0,3,10,2179.0,0,0,0.0,0,0,0.0,3,10,2179.0,NORMANDIE/MANCHE,T1_2021,5.8,496441.0,3938.0,2023,1
2023-01-01,54,MEURTHE ET MOSELLE,44,GRAND EST,153904,333827,65888751.0,17220,64679,5618365.0,418,1624,428821.0,13146,50105,2265108.0,7401,26281,2383368.0,1884,7879,541069.0,48990,194476,14227372.0,44526,185194,9980952.0,7880,39906,1824666.0,0.0,0.0,0.0,8894.0,25568.0,2421754.0,14777,27335,10014218.0,11837,12103,16977,9276830.0,2768,2953,10730,639633.0,14.0,14.0,29.0,8305.0,94,92,350,89451.0,74749,130121,15740190.0,7965,26392,2324607.0,35742,37896,6763100.0,31042,65833,6652482.0,68006,128176,20421287.0,20686,41926,11051123.0,51899,97004,9370164.0,0,0,0,175,650,94283.0,0,0,0.0,175,650,94283.0,0,0,0.0,GRAND EST/MEURTHE ET MOSELLE,T1_2021,7.7,731744.0,5913.0,2023,1
2023-01-01,65,HAUTES PYRENEES,76,OCCITANIE,46066,98181,21421482.0,4970,18422,1806662.0,101,366,101908.0,4148,15547,721546.0,2246,7897,818237.0,574,2388,164971.0,14466,55953,4022358.0,13058,53059,2816421.0,2110,10533,493537.0,0.0,0.0,0.0,2681.0,7521.0,712400.0,8106,14742,5600525.0,6664,6847,9996,5243903.0,1393,1551,5236,284713.0,5.0,5.0,9.0,3684.0,69,69,255,68225.0,20341,35363,4149808.0,3025,9768,859128.0,9353,9912,1725356.0,7963,15683,1565323.0,20951,38828,5991195.0,5530,11143,2905701.0,16926,30953,3085494.0,0,0,0,2,6,415.0,0,0,0.0,2,6,415.0,0,0,0.0,OCCITANIE/HAUTES PYRENEES,T1_2021,9.1,231638.0,1785.0,2023,1
